brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
lenovo,Unknown,14 Inches,Blue,1000 GB,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2 GHz,5.0,589.99,1000.0,0.7,0.1591764116714907,1.0,0.1044776119402985,0.4575645756457564,0.802694926400625,0.7057597499011816
hp,Unknown,15.6 Inches,Silver,1000 GB,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,1.1 GHz,4.5,999.99,1000.0,0.5,0.28184996201981993,0.875,0.9402985074626865,0.4575645756457564,0.8378243954354369,0.747904651179377
msi,Vector GP66 12UGS-267,15.66 Inches,Core Black,1000 GB,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1599.0,1000.0,0.9,0.461076019078729,1.0,0.4626865671641791,0.4575645756457564,0.8839567959639534,0.8032497935746075
apple,MacBook Air,13.3 Inches,Silver,256 GB,Unknown,8.0,Mac OS,Backlit Keyboard,Integrated,,1.1 GHz,4.8,689.99,256.0,0.5,0.18909678980522954,0.95,0.1044776119402985,0.1143911439114391,0.6602348360137296,0.5348500660830509
apple,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,8.0,Mac OS,,Integrated,,1.1 GHz,4.8,1144.48,256.0,0.5,0.32508191638525924,0.95,0.1044776119402985,0.1143911439114391,0.6330378106977237,0.5022217349839444
acer,A315-24P-R7VH,15.6 Inches,Silver,128 GB,Ryzen 3,8.0,Windows 11 S,Backlit Keyboard,Integrated,,1.1 GHz,4.5,299.99,128.0,0.4,0.07240731508364802,0.875,0.1044776119402985,0.055350553505535055,0.6172166423971603,0.48324104457065625
apple,MacBook Pro,13.3 Inches,Space Gray,256 GB,Unknown,8.0,Mac OS,Backlit Keyboard,Integrated,,1.1 GHz,4.7,965.08,256.0,0.5,0.27140475801333175,0.925,0.1044776119402985,0.1143911439114391,0.6362732423721092,0.5061032894809452
acer,CB315-3HT,15.6 Inches,Silver,64 GB,Celeron,4.0,Chrome OS,Support Stylus,Integrated,,1.1 GHz,4.4,239.99,64.0,0.2,0.05445508820340471,0.8500000000000001,0.04477611940298507,0.025830258302583026,0.5269387449853036,0.3749344524540658
asus,ROG Strix G16,16 Inches,Eclipse Gray,512 GB,Intel Core i7,16.0,Windows 11 Home,Backlit Keyboard,Dedicated,,1.1 GHz,4.4,1274.03,512.0,0.7,0.3638437662575179,0.8500000000000001,0.22388059701492538,0.23247232472324722,0.7068782148599685,0.5908082302900932
acer,A515-56-347N,15.6 Inches,Silver,128 GB,Intel Core i3,8.0,Windows 11 S,Amazon Alexa,Integrated,,1.1 GHz,4.3,299.99,128.0,0.3,0.07240731508364802,0.825,0.1044776119402985,0.055350553505535055,0.5672166423971603,0.423255934581616
acer,AN515-58-57Y8,15.6 Inches,Black,512 GB,Intel Core i5,16.0,Windows 11 Home,Backlit Keyboard,Dedicated,,1.1 GHz,4.4,814.77,512.0,0.5,0.22643143764050888,0.8500000000000001,0.22388059701492538,0.23247232472324722,0.6643606805833704,0.5397998508892026
hp,Notebook,14 Inches,Grey,1 TB,Ryzen 3,16.0,Windows 11,Anti Glare Coating,Integrated,,1.1 GHz,4.4,379.99,1024.0,0.4,0.0963436175906391,0.8500000000000001,0.22388059701492538,0.46863468634686345,0.6908025988368868,0.5715222783843705
lenovo,Unknown,15.6 Inches,Blue,1152 GB,Pentium,20.0,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,1152.0,0.3,0.09933565540401298,1.0,0.2835820895522388,0.5276752767527676,0.7210005783425604,0.6077508608262627
hp,Unknown,15.6 Inches,Black,1000 GB,Pentium,16.0,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,1000.0,0.3,0.12027992009763018,0.8500000000000001,0.22388059701492538,0.4575645756457564,0.6493548217303224,0.5217972890136007
lenovo,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20.0,Windows 11,,Integrated,Intel,1.1 GHz,5.0,639.99,1000.0,0.5,0.17413660073836013,1.0,0.2835820895522388,0.4575645756457564,0.7655237841096392,0.6611654487263205
acer,Nitro 17,17.3 Inches,Black,1 TB,Ryzen 7,16.0,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,1.1 GHz,4.4,1199.99,1024.0,0.8,0.34169071828729763,0.8500000000000001,0.22388059701492538,0.46863468634686345,0.781733178697555,0.6806118950705582
hp,hp laptop,15.6 Inches,Black,1 TB,Intel Core i3,16.0,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,1.1 GHz,4.2,473.0,1024.0,0.3,0.1241725612928296,0.8,0.22388059701492538,0.46863468634686345,0.6352368100964487,0.5048598793999115
asus,FX506HF-ES51,15.6 Inches,Graphite Black,512 GB,Intel Core i5,8.0,Windows 11 Home,Backlit Keyboard,Dedicated,,1.1 GHz,4.5,699.99,512.0,0.5,0.19208882761860344,0.875,0.1044776119402985,0.23247232472324722,0.6548486055728261,0.5283881935745727
msi,Thin GF63 12VE-066US,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Home,Anti Glare Coating,RTX 4050,,1.1 GHz,4.5,938.0,512.0,0.7,0.26330231961471523,0.875,0.22388059701492538,0.23247232472324722,0.7344865041885291,0.6239299557297522
lenovo,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Intel Core i3,20.0,Windows 11,Backlit Keyboard,Integrated,,1.1 GHz,4.3,419.0,256.0,0.3,0.10801555710061063,0.825,0.2835820895522388,0.1143911439114391,0.6047719780770415,0.468311153410276
lenovo,IdeaPad Gaming 3,15.6 Inches,Onyx Grey,256 GB,Ryzen 5,8.0,Windows 11 Home,Anti Glare Coating,Dedicated,,1.1 GHz,4.3,801.96,256.0,0.6,0.22259863720157694,0.825,0.1044776119402985,0.1143911439114391,0.6510344665344602,0.5238123625799753
asus,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core i9,16.0,Windows 11 Home,Anti Glare Coating,Dedicated,,1.1 GHz,4.5,1799.99,1024.0,0.9,0.5212129870897309,0.875,0.22388059701492538,0.46863468634686345,0.7883287249370685,0.6885245864028586
hp,Chromebook 14a-na0226nr,14 Inches,Mineral Silver,64,Celeron,4.0,Chrome OS,Anti-Glare,Integrated,,1.1 GHz,4.4,249.0,,0.2,0.05715091427325457,0.8500000000000001,0.04477611940298507,,,
hp,TPN-I139_320M3AV,17.3 Inches,Silver,1 TB,Intel Core i3,32.0,Windows 11 Home,HD Audio,Integrated,,1.1 GHz,4.6,510.0,1024.0,0.3,0.135243101202313,0.8999999999999999,0.4626865671641791,0.46863468634686345,0.7107838961444027,0.5954938847186717
hp,i5 12th Gen 15-dy5399nr,15.6 Inches,Silver,512 GB,Intel Core i5,16.0,Windows 11 Home,Micro-edge Bezel,Integrated,,1.1 GHz,4.3,527.15,512.0,0.5,0.1403744460522492,0.825,0.22388059701492538,0.23247232472324722,0.6740720789010223,0.5514506368138372
asus,ROG Strix G16,16 Inches,Eclipse Gray,1000 GB,Intel Core i9,32.0,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,4.3,2199.0,1000.0,0.9,0.6405982878811622,0.825,0.4626865671641791,0.4575645756457564,0.7955523422034667,0.6971907759277312
msi,Stealth GS66 12UGS-025,15.6 Inches,Core Black,1000 GB,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1699.0,1000.0,0.9,0.49099639721246785,0.0,0.4626865671641791,0.4575645756457564,0.5779727203372057,0.43616002494730216
dell,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32.0,Windows 11,,Integrated,Intel,1.1 GHz,5.0,899.99,1000.0,0.5,0.2519295838860811,1.0,0.4626865671641791,0.4575645756457564,0.7857860830024831,0.6854741732806817
lenovo,IdeaPad,14 Inches,Grey,1 TB,Intel Core i3,20.0,Windows 11 Home,Dolby,Integrated,,1.1 GHz,4.3,359.0,1024.0,0.3,0.09006333022036732,0.825,0.2835820895522388,0.46863468634686345,0.6614989548184038,0.5363666321938028
hp,HP Chromebook,14 Inches,Gray,64 GB,Celeron,4.0,Chrome OS,,Integrated,Intel UHD Graphics 600,1.1 GHz,3.8,209.99,64.0,0.2,0.04547897476328305,0.7,0.04477611940298507,0.025830258302583026,0.4837339676733279,0.32310158607184886
lenovo,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Intel Core i5,8.0,Windows 11 Pro,Anti Glare Coating,Integrated,,1.1 GHz,4.5,637.35,512.0,0.5,0.1733467027556294,0.875,0.1044776119402985,0.23247232472324722,0.658597030545421,0.5328851872599081
dell,Inspiron,15.6 Inches,Black,1 TB,Celeron,16.0,Windows 11 Home,Anti Glare Coating,Integrated,,1.1 GHz,4.1,439.0,1024.0,0.2,0.1139996327273584,0.7749999999999999,0.22388059701492538,0.46863468634686345,0.5947713958095429,0.456313432864869
